eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related,
197012240001,1970,12,24,,0,,209,Turkey,10,Middle East & North Africa,Ankara,Ankara,39.930771,32.76754,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,0,0,3,Bombing/Explosion,,,,,4,Military,,,,TUSLO6 DET 30,217,United States,,,,,,,,,,,,,,,,,Turkish Peoples Liberation Army,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,1,1,1,,
197012290001,1970,12,29,,0,,209,Turkey,10,Middle East & North Africa,Ankara,Ankara,39.930771,32.76754,1,0,,,1,1,1,0,,,0,0,0,2,Armed Assault,,,,,3,Police,25,Police Security Forces/Officers,Ankara Police,Police Officer,209,Turkey,,,,,,,,,,,,,,,,,Turkish Peoples Liberation Army,,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,3,Handgun,,,,,,,,,,,,,Pistol,0,,,1,,,0,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,,
197101070001,1971,1,7,,0,,209,Turkey,10,Middle East & North Africa,Malatya,Malatya,38.355879,38.296474,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,3,Bombing/Explosion,,,,,4,Military,35,Military Transportation/Vehicle (excluding convoys),,U.S. Air Force Truck,217,United States,,,,,,,,,,,,,,,,,Turkish Peoples Liberation Army,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,3,Minor (likely < $1 million),2000,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,1,1,1,,
197101110002,1971,1,11,,0,,209,Turkey,10,Middle East & North Africa,Ankara,Ankara,39.930771,32.76754,1,0,,,1,1,1,0,,,0,1,0,2,Armed Assault,,,,,1,Business,3,Bank/Commerce,,Bank,209,Turkey,,,,,,,,,,,,,,,,,Turkish Peoples Liberation Army,,,,,,,0,,,0,,,,,,,,,,,,,5,Firearms,2,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,Automatic firearm,0,,,0,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,,
197101220001,1971,1,22,,0,,209,Turkey,10,Middle East & North Africa,Ankara,Ankara,39.930771,32.76754,1,0,,,1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,7,Government (Diplomatic),46,Embassy/Consulate,,"U.S. Embassy, OSIS Building",217,United States,,,,,,,,,,,,,,,,,Turkish Peoples Liberation Army,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,0,3,Minor (likely < $1 million),0,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,1,1,1,,
197101220002,1971,1,22,,0,,209,Turkey,10,Middle East & North Africa,Ankara,Ankara,39.930771,32.76754,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,3,Bombing/Explosion,,,,,4,Military,35,Military Transportation/Vehicle (excluding convoys),,U.S. Air Force Car at Hacettepe Univ.,217,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,3,Minor (likely < $1 million),3000,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,,
197101250001,1971,1,25,,0,,209,Turkey,10,Middle East & North Africa,Ankara,Ankara,39.930771,32.76754,1,0,,,1,1,1,0,,,0,1,0,7,Facility/Infrastructure Attack,,,,,7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",,"Residence, Foreign Service Employee",217,United States,,,,,,,,,,,,,,,,,Turkish Peoples Liberation Army,,,,,,,0,,,0,2,,,,,,,,,,,,8,Incendiary,,,8,Incendiary,19,Molotov Cocktail/Petrol Bomb,,,,,,,,,Incendiary,0,0,,0,0,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,1,1,1,
197101250002,1971,1,25,,0,,209,Turkey,10,Middle East & North Africa,Ankara,Ankara,39.930771,32.76754,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,4,Military,,,,Tuscog Det 30 NCO Club,217,United States,,,,,,,,,,,,,,,,,Turkish Peoples Liberation Army,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,1,1,1,,
197101290002,1971,1,29,,0,,209,Turkey,10,Middle East & North Africa,Ankara,Ankara,39.930771,32.76754,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,2,Government (General),21,Government Building/Facility/Office,,U.S. Facility,217,United States,,,,,,,,,,,,,,,,,Turkish Peoples Liberation Army,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,1,1,1,,
197102020001,1971,2,2,,0,,209,Turkey,10,Middle East & North Africa,Izmir,Izmir,38.395649,27.135641,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,2,Government (General),21,Government Building/Facility/Office,,U.S. Facility,217,United States,,,,,,,,,,,,,,,,,Turkish Peoples Liberation Army,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,1,1,1,,
197102020002,1971,2,2,,0,,209,Turkey,10,Middle East & North Africa,Izmir,Izmir,38.395649,27.135641,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,3,Bombing/Explosion,,,,,4,Military,35,Military Transportation/Vehicle (excluding convoys),,USAF Vehicles,217,United States,,,,,,,,,,,,,,,,,Turkish Peoples Liberation Army,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,3,Minor (likely < $1 million),3000,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,1,1,1,,
197102080001,1971,2,8,,0,,209,Turkey,10,Middle East & North Africa,Ankara,Ankara,39.930771,32.76754,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,3,Bombing/Explosion,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",,US Soldier,217,United States,,,,,,,,,,,,,,,,,Turkish Peoples Liberation Army,,,,,,,0,,,0,1,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,3,Minor (likely < $1 million),20000,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,1,1,1,,
197102100001,1971,2,10,,0,,209,Turkey,10,Middle East & North Africa,Ankara,Ankara,39.930771,32.76754,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,76,House/Apartment/Residence,,Residence US Families,217,United States,,,,,,,,,,,,,,,,,Turkish Peoples Liberation Army,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,1,1,1,,
197102110002,1971,2,11,,0,,209,Turkey,10,Middle East & North Africa,Ankara,Ankara,39.930771,32.76754,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,7,Government (Diplomatic),46,Embassy/Consulate,,Turkish - US assoc.,217,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,,
197102120002,1971,2,12,,0,,209,Turkey,10,Middle East & North Africa,Ankara,Ankara,39.930771,32.76754,1,0,,,1,1,1,-9,,,0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,73,Vehicles/Transportation,,"Vehicle, US Civilian",217,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,3,Minor (likely < $1 million),2500,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,,
197102150001,1971,2,15,,1,2/16/1971,209,Turkey,10,Middle East & North Africa,Ankara,Ankara,39.930771,32.76754,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,6,Hostage Taking (Kidnapping),,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",USAF,"James Finlay, U.S. AF security police, ankara air sta.",217,United States,,,,,,,,,,,,,,,,,Turkish Peoples Liberation Army,,,,,,,0,,,0,,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,0,,,0,,,0,,,,,1,1,1,17,0,,Turkey,1,0,,,,,2,Hostage(s) released by perpetrators,1,,,,,PGIS,0,1,1,1,,
197102170001,1971,2,17,,0,,209,Turkey,10,Middle East & North Africa,Ankara,Ankara,39.930771,32.76754,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,3,Bombing/Explosion,,,,,4,Military,,,,TUSL 06 DET 29,217,United States,,,,,,,,,,,,,,,,,Turkish Peoples Liberation Army,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,0,3,Minor (likely < $1 million),0,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,1,1,1,,
197102170002,1971,2,17,,0,,209,Turkey,10,Middle East & North Africa,Istanbul,Istanbul,41.106178,28.689863,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,8,Educational Institution,49,School/University/Educational Building,,School,209,Turkey,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,0,-9,,
197102190001,1971,2,19,,0,,209,Turkey,10,Middle East & North Africa,Istanbul,Istanbul,41.106178,28.689863,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,3,Bombing/Explosion,,,,,4,Military,32,Military Maritime,,U.S. Army Passenger Boat,217,United States,,,,,,,,,,,,,,,,,Turkish Peoples Liberation Army,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,1,1,1,,
197102200002,1971,2,20,,0,,209,Turkey,10,Middle East & North Africa,Ankara,Ankara,39.930771,32.76754,1,0,,,1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,7,Government (Diplomatic),46,Embassy/Consulate,,USIS Office,217,United States,,,,,,,,,,,,,,,,,Turkish Peoples Liberation Army,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,17,Other Explosive Type,6,Explosives,16,Unknown Explosive Type,,,,,,,,,Explosive,0,0,,0,0,,,0,3,Minor (likely < $1 million),0,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,1,1,1,
197102210002,1971,2,21,,0,,209,Turkey,10,Middle East & North Africa,Ankara,ANkara,39.930771,32.76754,1,0,,,1,1,1,-9,,,0,1,0,2,Armed Assault,,,,,7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",,"Vehicle, USSR Diplomat",167,Russia,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,8,Incendiary,,,,,,,,,,,,,,,Incendiary,0,,,0,,,1,3,Minor (likely < $1 million),3000,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,,
197103040001,1971,3,4,,1,3/9/1971,209,Turkey,10,Middle East & North Africa,Ankara,Ankara,39.930771,32.76754,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,6,Hostage Taking (Kidnapping),,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",USAF,"James Sixton, USAF Airmen *",217,United States,,,,,,,,,,,,,,,,,Turkish Peoples Liberation Army,,,,,,,0,,,0,5,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,0,,,0,,,0,,,,,1,4,4,0,5,,Turkey,1,0,,,,,2,Hostage(s) released by perpetrators,4,,,,,PGIS,0,1,1,1,,
197103140001,1971,3,14,,0,,209,Turkey,10,Middle East & North Africa,Istanbul,Istanbul,41.106178,28.689863,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,1,Business,3,Bank/Commerce,,Bank,209,Turkey,,,,,,,,,,,,,,,,,Turkish Peoples Liberation Army,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,,
197103140002,1971,3,14,,0,,209,Turkey,10,Middle East & North Africa,Istanbul,Istanbul,41.106178,28.689863,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,10,Journalists & Media,53,Newspaper Journalist/Staff/Facility,,Newspaper,209,Turkey,,,,,,,,,,,,,,,,,Turkish Peoples Liberation Army,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,,
197103270001,1971,3,27,,0,,209,Turkey,10,Middle East & North Africa,Ankara,Ankara,39.930771,32.76754,1,0,,,1,1,1,-9,,,0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,73,Vehicles/Transportation,,"Vehicle, US Civilian",217,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,8,Incendiary,,,,,,,,,,,,,,,Incendiary,0,,,0,,,1,3,Minor (likely < $1 million),3000,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,,
197103300001,1971,3,30,,0,,209,Turkey,10,Middle East & North Africa,Izmir,Izmir,38.395649,27.135641,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,8,Educational Institution,49,School/University/Educational Building,,US School Playground,217,United States,,,,,,,,,,,,,,,,,Unknown,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,-9,-9,1,1,,
197104060001,1971,4,6,,0,,209,Turkey,10,Middle East & North Africa,Ankara,Ankara,39.930771,32.76754,1,0,,,1,1,1,0,,,0,0,0,3,Bombing/Explosion,,,,,2,Government (General),18,"Government Personnel (excluding police, military)",,Cento Secretariat,217,United States,,,,,,,,,,,,,,,,,RYF,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,0,3,Minor (likely < $1 million),0,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,1,1,1,,
197104060002,1971,4,6,,0,,209,Turkey,10,Middle East & North Africa,Ankara,Ankara,39.930771,32.76754,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,3,Bombing/Explosion,,,,,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,,Officers Open Mess,217,United States,,,,,,,,,,,,,,,,,Turkish Peoples Liberation Army,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,1,1,1,,
197104060003,1971,4,6,,0,,209,Turkey,10,Middle East & North Africa,Ankara,Ankara,39.930771,32.76754,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,3,Bombing/Explosion,,,,,4,Military,,,,US Element Cento,217,United States,,,,,,,,,,,,,,,,,Turkish Peoples Liberation Army,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,1,1,1,,
197104110001,1971,4,11,,0,,209,Turkey,10,Middle East & North Africa,Ankara,Ankara,39.930771,32.76754,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,4,Military,34,"Military Personnel (soldiers, troops, officers, forces)",,"Home, Turkish General Staff Officer",209,Turkey,,,,,,,,,,,,,,,,,RYF,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,0,0,0,,
197105040002,1971,5,4,,0,,209,Turkey,10,Middle East & North Africa,Ankara,Ankara,39.930771,32.76754,1,0,,,1,1,0,1,1,Insurgency/Guerilla Action,0,1,0,3,Bombing/Explosion,,,,,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,,"Airmens BIllet, Tuslog Det 30",217,United States,,,,,,,,,,,,,,,,,Turkish Peoples Liberation Army,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,,,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,1,1,1,,
197105140001,1971,5,14,,0,,209,Turkey,10,Middle East & North Africa,Ankara,Ankara,39.930771,32.76754,1,0,,,1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,7,Government (Diplomatic),46,Embassy/Consulate,,US Consulate,217,United States,,,,,,,,,,,,,,,,,Turkish Peoples Liberation Army,,,,,,,0,,,0,,,,,,,,,,,,,6,Explosives,16,Unknown Explosive Type,,,,,,,,,,,,,Explosive,0,,,0,,,1,4,Unknown,,,0,,,,,,,0,,,,,,,,,,,,,PGIS,0,1,1,1,,
197105170001,1971,5,17,,1,5/23/1971,209,Turkey,10,Middle East & North Africa,Istanbul,Istanbul,41.106178,28.689863,1,0,,,1,1,1,0,,,0,1,0,6,Hostage Taking (Kidnapping),,,,,7,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",Israeli government,"Ephraim Elrom, Israeli consul general, Istanbul",97,Israel,,,,,,,,,,,,,,,,,Turkish Peoples Liberation Army,,,,,,,0,,,0,4,,,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,,1,,,0,,,0,,,,,1,1,0,,,,Turkey,1,0,,,,,4,Hostage(s) killed (not during rescue attempt),1,,,,,PGIS,0,1,1,1,,
